City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,staroye drozhzhanoye,54.7266,47.5677,-10.32,83,86,2.86,RU,1674545694
84,port elizabeth,-33.918,25.5701,23.51,76,40,9.77,ZA,1674545694
85,cabo san lucas,22.8909,-109.9124,17.56,69,85,3.9,MX,1674545413
86,seoul,37.5683,126.9778,-11.34,36,0,9.26,KR,1674545373
87,hovd,48.0056,91.6419,-18.7,61,100,1.44,MN,1674545696
88,new norfolk,-42.7826,147.0587,23.72,53,69,1.34,AU,1674545696
89,kavaratti,10.5669,72.642,26.57,72,98,6.41,IN,1674545697
90,enterprise,36.0252,-115.2419,7.86,38,0,8.23,US,1674545697
91,itabuna,-14.7856,-39.2803,20.89,99,99,0.71,BR,1674545698
92,baringo,0.4667,35.9667,28.69,32,100,1.91,KE,1674545699
93,busselton,-33.65,115.3333,26.92,41,0,9.6,AU,1674545700
94,vaini,-21.2,-175.2,27.09,94,75,3.6,TO,1674545701
95,siverek,37.755,39.3167,10.92,40,0,2.16,TR,1674545702
96,ahipara,-35.1667,173.1667,18.66,90,100,3.24,NZ,1674545702
97,hithadhoo,-0.6,73.0833,27.31,75,86,6.05,MV,1674545703
98,junction city,39.0286,-96.8314,-3.67,90,0,0.0,US,1674545704
99,yuzhno-kurilsk,44.0306,145.8556,-3.45,72,100,6.24,RU,1674545704
100,nikolskoye,59.7035,30.7861,-2.06,90,100,4.95,RU,1674545705
101,atuona,-9.8,-139.0333,26.12,77,6,8.99,PF,1674545672
102,bathsheba,13.2167,-59.5167,25.34,78,40,7.2,BB,1674545706
103,torrington,41.8007,-73.1212,0.3,90,21,0.45,US,1674545707
104,thunder bay,48.4001,-89.3168,-6.01,68,100,2.57,CA,1674545411
105,kedougou,12.5579,-12.1743,22.53,47,7,1.98,SN,1674545708
106,kaitangata,-46.2817,169.8464,12.49,70,22,3.4,NZ,1674545709
107,dingle,10.9995,122.6711,26.32,82,68,6.86,PH,1674545709
108,seydisehir,37.4193,31.8453,7.78,51,0,0.84,TR,1674545710
109,san cristobal,7.7669,-72.225,17.31,82,63,1.66,VE,1674545710
110,hilo,19.7297,-155.09,23.49,91,0,2.57,US,1674545711
111,san isidro,-12.1167,-77.05,22.79,82,0,4.63,PE,1674545712
112,zyryanka,65.75,150.85,-31.5,96,100,1.17,RU,1674545712
113,alenquer,-1.9417,-54.7383,22.78,96,100,1.29,BR,1674545713
114,alofi,-19.0595,-169.9187,24.94,94,12,0.0,NU,1674545714
115,luderitz,-26.6481,15.1594,21.58,55,2,7.57,NA,1674545714
116,poya,-21.35,165.15,26.39,86,28,1.67,NC,1674545715
117,kapaa,22.0752,-159.319,22.18,89,0,2.57,US,1674545715
118,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1674545716
119,mar del plata,-38.0023,-57.5575,18.3,81,0,4.92,AR,1674545430
120,kavarna,43.4333,28.3333,1.31,86,100,5.14,BG,1674545717
121,sao filipe,14.8961,-24.4956,20.49,68,5,3.4,CV,1674545718
122,kalmunai,7.4167,81.8167,26.71,72,88,5.86,LK,1674545718
123,ayagoz,47.9714,80.4392,-14.62,91,93,3.22,KZ,1674545719
124,leningradskiy,69.3833,178.4167,-31.43,92,21,3.89,RU,1674545720
125,poum,-20.2333,164.0167,27.76,75,95,1.67,NC,1674545721
126,male,4.1748,73.5089,25.52,84,100,7.49,MV,1674545469
127,victoria,22.2855,114.1577,18.47,42,15,8.05,HK,1674545710
128,bengkulu,-3.8004,102.2655,24.48,93,100,5.87,ID,1674545722
129,castro,-24.7911,-50.0119,15.23,95,35,0.36,BR,1674545723
130,totness,5.8833,-56.3167,23.27,87,32,4.66,SR,1674545723
131,iqaluit,63.7506,-68.5145,-25.15,84,75,3.6,CA,1674545724
132,chokurdakh,70.6333,147.9167,-32.01,94,100,1.16,RU,1674545725
133,sechura,-5.5569,-80.8222,21.56,76,48,2.64,PE,1674545726
134,padang,-0.9492,100.3543,28.03,91,100,4.58,ID,1674545726
135,lloydminster,53.2835,-110.0016,-2.88,86,100,5.14,CA,1674545727
136,lunglei,22.8833,92.7333,27.18,18,43,1.99,IN,1674545727
137,dolinsk,47.35,142.8,-20.39,98,100,7.59,RU,1674545728
138,manggar,-2.8833,108.2667,29.15,71,97,4.12,ID,1674545729
139,coquimbo,-29.9533,-71.3436,17.85,82,40,1.54,CL,1674545538
140,alice springs,-23.7,133.8833,37.75,14,38,3.09,AU,1674545731
141,puerto ayora,-0.7393,-90.3518,21.97,96,62,0.91,EC,1674545731
142,husavik,66.0449,-17.3389,-0.06,74,100,3.97,IS,1674545732
143,tukrah,32.5341,20.5791,15.68,43,0,1.83,LY,1674545732
144,shimoda,34.6667,138.95,10.2,59,76,14.46,JP,1674545733
145,formosa do rio preto,-11.0483,-45.1931,19.95,93,16,0.16,BR,1674545734
146,bethel,41.3712,-73.414,1.94,75,100,2.57,US,1674545734
147,hofn,64.2539,-15.2082,4.02,92,100,2.08,IS,1674545735
148,udachnyy,66.4167,112.4,-29.2,74,100,1.33,RU,1674545736
149,karasjok,69.4719,25.5112,-3.89,84,96,5.31,NO,1674545736
150,channel-port aux basques,47.5702,-59.1367,4.47,99,100,8.4,CA,1674545737
151,mount gambier,-37.8333,140.7667,19.18,58,48,4.18,AU,1674545738
152,omsukchan,62.5333,155.8,-27.56,97,100,2.55,RU,1674545738
153,east london,-33.0153,27.9116,27.52,61,0,7.2,ZA,1674545739
154,quatre cocos,-20.2078,57.7625,27.06,76,100,2.55,MU,1674545739
155,kaeo,-35.1,173.7833,18.66,90,100,4.05,NZ,1674545740
156,zalantun,48.0,122.7167,-19.32,59,12,4.36,CN,1674545741
157,ixtapa,20.7,-105.2,22.35,83,100,0.45,MX,1674545158
158,mlimba,-8.8,35.8167,28.8,62,98,1.31,TZ,1674545741
159,rongcheng,30.634,117.8517,1.29,39,38,4.85,CN,1674545742
160,santa cruz del sur,20.7147,-77.9956,21.78,88,5,4.5,CU,1674545743
161,tabory,58.5198,64.5495,-7.08,90,78,2.44,RU,1674545743
162,la libertad,-2.2333,-80.9,24.42,80,95,3.52,EC,1674545744
163,manavalakurichi,8.1333,77.3,28.87,64,100,4.47,IN,1674545745
164,katsuura,35.1333,140.3,10.48,52,90,13.72,JP,1674545745
165,champerico,14.3,-91.9167,24.04,76,17,2.01,GT,1674545746
166,tocopilla,-22.092,-70.1979,21.58,74,92,1.8,CL,1674545747
167,vanimo,-2.6741,141.3028,24.3,94,100,2.2,PG,1674545152
168,lodwar,3.1191,35.5973,33.45,29,28,10.27,KE,1674545748
169,bredasdorp,-34.5322,20.0403,20.93,66,8,10.23,ZA,1674545658
170,mucuri,-18.0864,-39.5508,24.79,86,100,5.64,BR,1674545749
171,umm kaddadah,13.6017,26.6876,24.3,16,4,9.07,SD,1674545749
172,sukumo,32.9333,132.7333,-2.12,82,97,11.18,JP,1674545750
173,sao jose da coroa grande,-8.8978,-35.1478,24.99,80,23,3.3,BR,1674545751
174,kozhva,65.1073,57.0459,-10.9,94,54,4.74,RU,1674545752
175,rawson,-43.3002,-65.1023,24.62,33,22,6.72,AR,1674545752
176,saint-georges,12.0564,-61.7485,24.82,83,20,7.2,GD,1674545753
177,carnarvon,-24.8667,113.6333,27.21,68,4,8.81,AU,1674545753
178,cockburn town,21.4612,-71.1419,25.31,68,0,6.33,TC,1674545754
179,gudari,19.35,83.7833,33.08,15,16,1.76,IN,1674545755
180,acton,51.509,-0.2762,4.19,88,75,2.57,GB,1674545755
181,klaksvik,62.2266,-6.589,8.51,88,100,13.98,FO,1674545756
182,goianesia,-15.3175,-49.1175,19.12,98,95,0.44,BR,1674545756
183,thompson,55.7435,-97.8558,-32.91,68,0,0.0,CA,1674545757
184,yar-sale,66.8333,70.8333,-14.07,95,100,7.14,RU,1674545758
185,westport,41.1415,-73.3579,2.64,68,100,4.12,US,1674545758
186,toma,12.7667,-2.8833,26.07,19,32,2.37,BF,1674545759
187,nagorsk,59.3172,50.8078,-9.79,96,100,2.94,RU,1674545759
188,saint-pierre,-21.3393,55.4781,25.82,78,75,2.06,RE,1674545760
189,chuy,-33.6971,-53.4616,15.57,81,0,1.47,UY,1674545761
190,siderno,38.2779,16.302,10.83,72,0,1.32,IT,1674545761
191,tahta,26.7693,31.5021,17.45,45,0,3.95,EG,1674545762
192,lehigh acres,26.6254,-81.6248,15.53,78,0,4.63,US,1674545628
193,badou,7.5833,0.6,28.03,58,15,0.61,TG,1674545763
194,tottori,35.5,134.2333,-0.96,93,75,12.35,JP,1674545764
195,catamarca,-28.4696,-65.7852,27.81,59,0,6.69,AR,1674545765
196,ilulissat,69.2167,-51.1,-4.99,63,100,11.32,GL,1674545765
197,srednekolymsk,67.45,153.6833,-30.62,95,100,1.06,RU,1674545766
198,djibo,14.1022,-1.6306,25.82,16,45,2.38,BF,1674545767
199,alyangula,-13.8483,136.4192,27.11,86,100,6.15,AU,1674545767
200,lucapa,-8.4192,20.7447,23.06,74,100,1.42,AO,1674545768
201,rawa mazowiecka,51.7644,20.2549,1.38,95,84,3.05,PL,1674545769
202,gorin,51.1983,136.6669,-34.28,96,69,0.47,RU,1674545770
203,saskylakh,71.9167,114.0833,-22.41,99,100,2.16,RU,1674545770
204,owando,-0.4819,15.8999,29.34,54,78,1.56,CG,1674545771
205,bay roberts,47.5999,-53.2648,5.59,95,100,4.47,CA,1674545771
206,maldonado,-34.6667,-54.9167,15.68,75,0,2.13,UY,1674545539
207,hailey,43.5196,-114.3153,-13.08,85,100,3.09,US,1674545772
208,burns lake,54.2331,-125.7533,-5.32,92,100,1.12,CA,1674545773
209,corinto,37.9407,22.9573,12.72,65,9,2.14,GR,1674545774
210,longyearbyen,78.2186,15.6401,-2.09,80,75,6.17,SJ,1674545774
211,abay,49.6311,72.8539,-12.79,92,84,0.15,KZ,1674545775
212,shingu,33.7333,135.9833,1.17,61,12,11.19,JP,1674545776
213,santarem,-2.4431,-54.7083,26.07,89,75,2.57,BR,1674545776
214,fortuna,40.5982,-124.1573,4.64,100,0,4.63,US,1674545777
215,kruisfontein,-34.0033,24.7314,21.6,62,93,9.49,ZA,1674545778
216,port-gentil,-0.7193,8.7815,26.98,94,40,1.03,GA,1674545778
217,fairbanks,64.8378,-147.7164,-20.78,77,100,0.0,US,1674545779
218,beringovskiy,63.05,179.3167,-24.23,98,97,5.85,RU,1674545780
219,avera,33.194,-82.5271,0.73,74,0,1.88,US,1674545781
220,witu,-2.3889,40.4382,29.09,66,100,3.02,KE,1674545781
221,saint-philippe,-21.3585,55.7679,25.77,87,100,3.48,RE,1674545782
222,faya,18.3851,42.4509,16.06,50,10,2.9,SA,1674545783
223,khatanga,71.9667,102.5,-40.94,95,52,2.77,RU,1674545783
224,hammerfest,70.6634,23.6821,1.25,69,75,11.83,NO,1674545784
225,norman wells,65.282,-126.8329,-24.98,84,100,0.0,CA,1674545784
226,ribeira grande,38.5167,-28.7,15.43,88,75,10.29,PT,1674545785
227,stephenville,32.2207,-98.2023,7.91,54,100,4.12,US,1674545786
228,tabas,33.5959,56.9244,8.12,31,0,1.03,IR,1674545786
229,zhanakorgan,43.9098,67.2495,-2.75,64,97,4.79,KZ,1674545787
230,ocampo,21.65,-101.5,7.84,62,93,3.89,MX,1674545788
231,northam,51.0333,-4.2167,1.14,60,11,1.45,GB,1674545788
232,sulangan,11.1373,123.7228,27.41,76,3,8.64,PH,1674545789
233,richards bay,-28.783,32.0377,31.78,42,0,4.82,ZA,1674545790
234,kurilsk,45.2333,147.8833,-2.99,68,100,4.85,RU,1674545790
235,bayir,37.2687,28.2167,4.29,64,0,1.58,TR,1674545791
236,bilma,18.6853,12.9164,22.99,11,0,3.36,NE,1674545792
237,inhambane,-23.865,35.3833,30.99,55,40,3.09,MZ,1674545792
238,terrace,54.5163,-128.6035,4.95,93,100,5.14,CA,1674545793
239,lagoa,39.05,-27.9833,15.27,76,99,8.76,PT,1674545794
240,georgetown,5.4112,100.3354,28.97,75,20,4.12,MY,1674545794
241,saint-joseph,-21.3667,55.6167,25.21,89,100,1.87,RE,1674545527
242,bilibino,68.0546,166.4372,-25.33,76,100,2.02,RU,1674545795
243,mayumba,-3.432,10.6554,26.51,80,100,1.62,GA,1674545796
244,awbari,26.5921,12.7805,15.6,20,0,2.53,LY,1674545797
245,aksarka,66.5606,67.7975,-5.26,90,100,7.07,RU,1674545798
246,hasaki,35.7333,140.8333,12.38,56,29,8.18,JP,1674545798
247,brae,60.3964,-1.353,9.44,97,100,9.6,GB,1674545799
248,hami,42.8,93.45,-7.31,18,0,2.06,CN,1674545799
249,luorong,24.4058,109.6086,13.04,20,3,8.77,CN,1674545800
250,teguldet,57.3064,88.1667,-9.01,94,100,4.03,RU,1674545801
251,san juan,-31.5375,-68.5364,27.75,37,0,1.36,AR,1674545801
252,barrow,71.2906,-156.7887,-19.99,77,100,9.77,US,1674545802
253,asfi,32.2994,-9.2372,9.77,69,0,6.17,MA,1674545571
254,tasiilaq,65.6145,-37.6368,-7.91,64,100,2.96,GL,1674545803
255,pacific grove,36.6177,-121.9166,8.61,67,0,3.09,US,1674545803
256,tautira,-17.7333,-149.15,26.07,83,92,4.51,PF,1674545804
257,morondava,-20.2833,44.2833,25.75,91,99,10.32,MG,1674545805
258,harer,9.3094,42.1258,22.83,29,100,1.37,ET,1674545806
259,roquetas de mar,36.7642,-2.6148,7.56,52,6,4.94,ES,1674545806
260,amalapuram,16.5833,82.0167,29.23,39,27,3.54,IN,1674545807
261,periyakulam,10.1167,77.55,26.79,71,99,2.01,IN,1674545807
262,verkhoyansk,67.5447,133.385,-40.58,99,100,1.04,RU,1674545808
263,blyth,55.1271,-1.5086,9.1,92,40,4.12,GB,1674545809
264,bardiyah,31.7561,25.0865,15.53,75,0,1.39,LY,1674545809
265,kupang,-10.1667,123.5833,29.32,79,75,1.54,ID,1674545753
266,marsh harbour,26.5412,-77.0636,21.19,78,100,8.63,BS,1674545745
267,shenzhen,22.5455,114.0683,18.41,39,11,8.78,CN,1674545811
268,bodden town,19.2833,-81.25,24.96,80,5,1.34,KY,1674545812
269,shahreza,32.0339,51.8794,-0.23,54,9,1.99,IR,1674545812
270,te anau,-45.4167,167.7167,15.03,67,14,1.6,NZ,1674545813
271,port hedland,-20.3167,118.5667,32.03,62,40,6.69,AU,1674545814
272,karratha,-20.7377,116.8463,31.33,56,68,5.57,AU,1674545814
273,rio de janeiro,-22.9028,-43.2075,24.98,83,75,2.06,BR,1674545400
274,margate,51.3813,1.3862,5.5,81,99,2.24,GB,1674545765
275,havelock,34.8791,-76.9013,4.99,78,0,0.89,US,1674545816
276,alipur,29.3846,70.9116,20.55,12,0,4.62,PK,1674545816
277,oksfjord,70.2396,22.3479,1.1,86,99,15.29,NO,1674545817
278,sisimiut,66.9395,-53.6735,-6.31,93,100,6.02,GL,1674545818
279,havre-saint-pierre,50.2334,-63.5986,-7.0,73,0,4.63,CA,1674545819
280,celestun,20.8667,-90.4,22.98,81,0,5.32,MX,1674545819
281,lebu,-37.6167,-73.65,14.74,93,96,6.45,CL,1674545820
